fat,len,wid,slat,slon
0,22.0,0,31.97,-91.6
0,0.29,900,31.804,-83.6168
0,0.0,30,41.08,-82.4
0,0.2,30,30.07,-91.28
0,0.1,50,48.4,-107.2
0,0.2,0,48.77,-96.28
0,6.12,80,31.84,-96.44
0,0.3,10,45.57,-98.15
0,0.1,50,43.62,-88.4
0,0.2,50,37.15,-88.83
0,5.5,440,32.28,-89.2
0,0.3,40,34.6,-92.22
0,0.1,0,40.97,-103.1
0,0.26,75,40.9726,-96.018
0,0.1,50,38.42,-105.02
0,2.6,150,31.55,-97.15
0,1.12,100,41.4102,-87.9857
0,1.52,250,37.724000000000004,-97.04899999999999
0,0.2,10,27.1,-82.42
0,2.03,75,37.45,-98.04
0,1.4,100,32.2436,-88.5303
0,5.85,100,36.58,-93.69
0,1.57,75,36.659,-86.835
0,6.59,600,34.66,-100.7
0,0.2,50,34.58,-101.77
0,0.1,50,35.1,-83.53
0,0.67,175,34.5834,-79.1635
0,1.0,200,48.68,-97.82
0,0.37,50,28.0908,-98.0255
0,22.7,500,35.9972,-96.1317
0,5.6,150,39.01,-99.55
0,20.87,150,38.7166,-91.5152
0,3.25,100,41.0928,-82.5082
0,8.5,30,30.52,-89.72
0,13.27,895,32.66,-83.15
0,0.5,0,47.92,-98.78
0,2.22,50,30.7403,-94.0229
0,0.27,25,29.97,-92.58
0,1.88,50,37.3021,-99.2417
0,4.0,50,44.55,-92.0
0,4.67,400,40.6992,-100.1972
0,10.0,50,42.37,-102.88
0,0.75,100,39.9773,-84.4653
0,1.52,125,37.699,-78.789
0,0.1,20,32.48,-100.53
0,0.55,25,42.3244,-93.6873
0,0.01,1,31.31,-81.48
0,1.8,100,33.83,-95.05
0,0.24,50,32.7526,-90.6067
0,1.7,80,35.8,-95.3
0,8.38,200,44.9087,-70.0273
0,1.75,50,35.38,-84.34
0,9.24,200,37.4774,-77.125
0,1.0,200,36.67,-98.07
0,0.36,50,30.85,-89.13
0,7.34,250,31.74,-89.48
0,3.52,730,46.4449,-93.9158
0,5.42,100,30.5656,-91.2045
0,0.1,25,43.95,-88.17
0,5.0,40,47.37,-100.78
0,0.23,50,43.08,-95.89
0,0.5,100,31.87,-83.46
0,12.0,400,36.47,-98.57
0,9.0,170,34.3,-95.37
0,0.2,25,30.92,-90.15
0,8.0,0,30.1,-95.23
0,0.3,30,34.26,-90.3
0,20.0,30,42.48,-92.05
0,0.18,50,38.897,-94.34100000000001
0,0.84,60,36.93,-79.51
0,5.0,100,33.97,-85.25
0,0.33,60,40.2703,-97.3907
0,0.6,10,26.88,-82.32
0,0.0,40,42.07,-91.62
0,1.0,100,37.4,-99.3
0,0.2,20,37.67,-94.25
0,0.57,50,40.7475,-95.2447
0,0.5,10,43.08,-101.75
0,0.1,20,36.038,-97.886
0,0.1,25,40.35,-95.41
0,0.1,20,39.35,-101.77
0,13.0,400,35.5753,-94.4545
0,0.12,10,33.4475,-101.85799999999999
0,1.9,100,33.8376,-84.4277
0,0.1,20,30.7,-101.37
0,2.6,150,35.387,-97.028
0,1.27,440,41.8,-96.12
0,0.4,300,39.8865,-84.0468
0,0.1,20,37.57,-100.72
0,2.88,350,33.4674,-88.1877
0,0.09,55,44.9285,-85.3808
1,11.0,100,39.07,-97.6
0,2.0,0,31.0,-93.67
0,1.87,75,45.0988,-93.1152
0,0.5,55,37.37,-97.12
0,0.61,25,44.694,-94.5097
0,0.6,200,36.7367,-77.9989
0,0.1,50,39.18,-104.05
0,0.01,25,40.23,-104.45
0,0.5,35,30.05,-91.05
0,0.5,60,29.23,-98.58
0,0.2,50,44.33,-98.18
0,4.9,200,33.9342,-87.4969
0,0.4,40,33.07,-97.52
0,0.1,10,44.35,-104.38
0,0.44,188,32.1307,-85.2295
0,0.8,50,39.693000000000005,-78.3334
0,0.1,25,37.4,-84.95
0,0.5,50,37.37,-78.03
0,0.2,30,35.53,-98.08
0,0.65,30,42.4751,-93.1863
0,2.0,100,37.5,-102.57
0,0.1,880,33.8,-97.43
0,0.43,50,29.6487,-95.071
0,0.5,30,29.07,-95.57
0,0.15,35,31.6165,-85.2788
0,0.09,20,33.9406,-78.2504
