yr,date,st,stname,mag,inj,fat,loss,closs,len,wid,slat,slon,location
2010,1/18/2010,CA,California,0,0,0,0.0,0.0,0.53,15,36.73,-119.86,"[36.73, -119.86]"
2010,1/19/2010,CA,California,0,0,0,0.0,0.0,0.14,10,34.42,-119.88,"[34.42, -119.88]"
2010,1/19/2010,CA,California,1,0,0,0.5,0.0,4.62,25,33.72,-118.12,"[33.72, -118.12]"
2010,1/20/2010,LA,Louisiana,0,0,0,0.0,0.0,0.16,25,30.82,-92.05,"[30.82, -92.05]"
2010,1/20/2010,TX,Texas,1,0,0,0.04,0.0,0.79,150,31.51,-93.92,"[31.51, -93.92]"
2010,1/20/2010,TX,Texas,3,0,0,1.5,0.0,15.56,1087,32.49,-94.17,"[32.49, -94.17]"
2010,1/20/2010,TX,Texas,2,0,0,1.0,0.0,15.17,100,32.57,-95.87,"[32.57, -95.87]"
2010,1/20/2010,LA,Louisiana,0,0,0,0.0,0.0,4.6,300,31.77,-93.26,"[31.77, -93.26]"
2010,1/20/2010,MS,Mississippi,0,0,0,0.04,0.0,0.96,40,32.48,-90.24,"[32.48, -90.24]"
2010,1/20/2010,TX,Texas,2,0,0,0.03,0.0,0.9,200,32.06,-95.69,"[32.06, -95.69]"
2010,1/20/2010,TX,Texas,0,0,0,0.1,0.0,5.42,50,33.05,-95.71,"[33.05, -95.71]"
2010,1/20/2010,TX,Texas,1,0,0,0.07,0.0,3.0,100,32.09,-95.63,"[32.09, -95.63]"
2010,1/20/2010,TX,Texas,0,0,0,0.75,0.0,1.35,50,33.13,-95.56,"[33.13, -95.56]"
2010,1/20/2010,LA,Louisiana,1,0,0,0.1,0.0,1.66,150,30.68,-90.39,"[30.68, -90.39]"
2010,1/20/2010,TX,Texas,0,0,0,0.2,0.0,1.48,75,32.19,-95.35,"[32.19, -95.35]"
2010,1/20/2010,TX,Texas,1,0,0,0.04,0.0,0.47,75,32.24,-95.27,"[32.24, -95.27]"
2010,1/20/2010,TX,Texas,1,0,0,0.3,0.0,0.31,50,32.67,-94.58,"[32.67, -94.58]"
2010,1/21/2010,MS,Mississippi,2,0,0,0.5,0.0,3.61,500,31.83,-90.38,"[31.83, -90.38]"
2010,1/21/2010,GA,Georgia,0,0,0,0.0,0.0,0.84,200,30.52,-82.05,"[30.52, -82.05]"
2010,1/21/2010,FL,Florida,0,0,0,0.0,0.0,0.15,100,30.54,-82.04,"[30.54, -82.04]"
2010,1/21/2010,FL,Florida,0,0,0,0.0,0.0,0.14,100,30.56,-81.83,"[30.56, -81.83]"
2010,1/21/2010,FL,Florida,1,0,0,3.5,0.0,8.71,400,29.99,-82.2,"[29.99, -82.2]"
2010,1/21/2010,CA,California,0,0,0,0.0,0.0,1.51,67,34.25,-119.19,"[34.25, -119.19]"
2010,1/21/2010,TN,Tennessee,0,0,0,0.0,0.0,2.46,300,35.2,-85.89,"[35.2, -85.89]"
2010,1/21/2010,CA,California,0,0,0,3.0,0.0,14.26,100,33.51,-114.75,"[33.51, -114.75]"
2010,1/21/2010,AL,Alabama,2,1,0,0.0,0.0,6.6,150,34.7,-86.64,"[34.7, -86.64]"
2010,1/21/2010,TN,Tennessee,0,0,0,0.0,0.0,0.2,30,35.11,-85.69,"[35.11, -85.69]"
2010,1/22/2010,FL,Florida,0,1,0,0.0,0.0,7.34,265,28.25,-80.72,"[28.25, -80.72]"
2010,1/23/2010,CA,California,1,0,0,0.03,0.0,1.64,2,37.91,-121.77,"[37.91, -121.77]"
2010,1/24/2010,TN,Tennessee,0,0,0,0.05,0.0,3.6,50,36.55,-86.91,"[36.55, -86.91]"
2010,2/27/2010,CA,California,0,0,0,0.0,0.0,0.5,20,35.3,-119.27,"[35.3, -119.27]"
2010,3/8/2010,OK,Oklahoma,2,0,0,1.0,0.0,9.48,100,35.56,-99.46,"[35.56, -99.46]"
2010,3/8/2010,OK,Oklahoma,0,0,0,0.0,0.0,0.1,10,35.74,-99.19,"[35.74, -99.19]"
2010,3/8/2010,CA,California,0,0,0,0.05,0.0,0.25,20,39.73,-122.55,"[39.73, -122.55]"
2010,3/10/2010,AR,Arkansas,0,0,0,0.0,0.0,2.37,50,33.91,-93.7,"[33.91, -93.7]"
2010,3/10/2010,AR,Arkansas,1,0,0,0.88,0.0,6.12,400,34.59,-92.66,"[34.59, -92.66]"
2010,3/10/2010,AR,Arkansas,1,2,0,0.95,0.0,13.24,400,35.24,-91.91,"[35.24, -91.91]"
2010,3/10/2010,AR,Arkansas,1,0,0,0.05,0.0,2.91,100,35.44,-91.7,"[35.44, -91.7]"
2010,3/10/2010,AR,Arkansas,2,3,1,0.25,0.0,3.43,300,35.4,-92.14,"[35.4, -92.14]"
2010,3/10/2010,AR,Arkansas,1,0,0,1.2,0.0,0.91,100,35.63,-91.53,"[35.63, -91.53]"
2010,3/10/2010,MO,Missouri,1,0,0,0.0,0.0,6.61,60,38.44,-92.03,"[38.44, -92.03]"
2010,3/10/2010,MO,Missouri,0,0,0,0.0,0.0,0.79,40,38.66,-91.92,"[38.66, -91.92]"
2010,3/10/2010,MO,Missouri,0,0,0,0.0,0.0,3.71,40,38.69,-91.9,"[38.69, -91.9]"
2010,3/10/2010,MO,Missouri,1,1,0,0.2,0.0,1.47,180,36.59,-90.79,"[36.59, -90.79]"
2010,3/11/2010,MS,Mississippi,1,0,0,0.1,0.2,5.27,400,32.42,-89.58,"[32.42, -89.58]"
2010,3/11/2010,MS,Mississippi,1,0,0,0.05,0.1,1.31,250,32.45,-89.56,"[32.45, -89.56]"
2010,3/11/2010,FL,Florida,0,0,0,0.0,0.0,1.5,30,28.73,-82.58,"[28.73, -82.58]"
2010,3/11/2010,FL,Florida,0,0,0,0.0,0.0,0.36,20,28.08,-81.78,"[28.08, -81.78]"
2010,3/11/2010,FL,Florida,1,0,0,0.2,0.0,1.41,70,28.07,-81.56,"[28.07, -81.56]"
2010,3/12/2010,GA,Georgia,0,0,0,0.05,0.0,1.53,100,32.23,-83.75,"[32.23, -83.75]"
2010,3/25/2010,AL,Alabama,1,0,0,0.05,0.0,2.86,50,34.36,-87.08,"[34.36, -87.08]"
2010,3/25/2010,AL,Alabama,1,0,0,0.17,0.0,2.74,100,33.24,-86.87,"[33.24, -86.87]"
2010,3/25/2010,AL,Alabama,1,0,0,0.04,0.0,2.75,200,32.85,-86.68,"[32.85, -86.68]"
2010,3/28/2010,SC,South Carolina,1,0,0,0.0,0.01,13.35,110,33.63,-82.12,"[33.63, -82.12]"
2010,3/28/2010,NC,North Carolina,1,0,0,1.1,0.0,0.13,100,35.23,-81.02,"[35.23, -81.02]"
2010,3/28/2010,FL,Florida,0,0,0,0.01,0.0,2.31,200,28.12,-80.71,"[28.12, -80.71]"
2010,3/28/2010,NC,North Carolina,2,5,0,1.75,0.0,5.0,200,35.69,-80.43,"[35.69, -80.43]"
2010,3/28/2010,NC,North Carolina,3,0,0,10.75,0.0,4.29,250,35.96,-80.08,"[35.96, -80.08]"
2010,3/28/2010,VA,Virginia,0,0,0,0.01,0.0,0.23,100,36.58,-79.0,"[36.58, -79.0]"
2010,3/28/2010,SC,South Carolina,2,0,0,0.25,0.02,2.39,440,33.63,-82.04,"[33.63, -82.04]"
2010,3/28/2010,SC,South Carolina,2,1,0,1.0,0.01,5.01,440,33.99,-81.5,"[33.99, -81.5]"
2010,3/28/2010,NC,North Carolina,1,0,0,0.25,0.0,4.05,75,36.27,-78.9,"[36.27, -78.9]"
2010,3/28/2010,SC,South Carolina,0,0,0,0.0,0.0,2.0,60,34.26,-81.18,"[34.26, -81.18]"
2010,3/29/2010,FL,Florida,0,0,0,0.08,0.0,2.43,100,26.17,-80.17,"[26.17, -80.17]"
2010,4/4/2010,MO,Missouri,0,0,0,0.0,0.0,2.41,25,39.32,-92.67,"[39.32, -92.67]"
2010,4/5/2010,IL,Illinois,0,0,0,0.0,0.0,0.18,10,39.15,-89.52,"[39.15, -89.52]"
2010,4/7/2010,IL,Illinois,0,0,0,0.01,0.0,1.88,50,37.76,-89.53,"[37.76, -89.53]"
2010,4/8/2010,AL,Alabama,0,0,0,0.01,0.0,0.2,50,34.09,-86.59,"[34.09, -86.59]"
2010,4/8/2010,AL,Alabama,0,0,0,0.0,0.0,0.11,100,31.17,-88.04,"[31.17, -88.04]"
2010,4/8/2010,AL,Alabama,0,0,0,0.0,0.0,3.0,75,31.29,-86.04,"[31.29, -86.04]"
2010,4/8/2010,FL,Florida,0,0,0,0.0,0.0,1.0,75,30.51,-84.6,"[30.51, -84.6]"
2010,4/8/2010,GA,Georgia,1,0,0,0.22,0.0,1.77,50,33.77,-83.5,"[33.77, -83.5]"
2010,4/8/2010,SC,South Carolina,0,0,0,0.01,0.0,0.7,30,34.52,-82.99,"[34.52, -82.99]"
2010,4/8/2010,SC,South Carolina,1,0,0,0.1,0.0,2.04,75,34.62,-82.72,"[34.62, -82.72]"
2010,4/8/2010,SC,South Carolina,0,0,0,0.04,0.0,0.15,20,32.24,-80.9,"[32.24, -80.9]"
2010,4/12/2010,FL,Florida,0,0,0,0.0,0.0,0.01,1,26.69,-80.66,"[26.69, -80.66]"
2010,4/13/2010,CO,Colorado,0,0,0,0.0,0.0,0.5,10,39.17,-102.53,"[39.17, -102.53]"
2010,4/17/2010,TX,Texas,0,0,0,0.01,0.0,0.51,50,27.52,-97.97,"[27.52, -97.97]"
2010,4/20/2010,TX,Texas,0,0,0,0.0,0.0,1.05,50,35.18,-102.12,"[35.18, -102.12]"
2010,4/20/2010,TX,Texas,0,0,0,0.0,0.0,0.9,50,34.98,-102.06,"[34.98, -102.06]"
2010,4/21/2010,CO,Colorado,0,0,0,0.0,0.0,2.7,50,37.42,-103.93,"[37.42, -103.93]"
2010,4/22/2010,CO,Colorado,0,0,0,0.0,0.0,4.69,100,37.99,-103.15,"[37.99, -103.15]"
2010,4/22/2010,CO,Colorado,0,0,0,0.0,0.0,2.45,50,38.01,-103.15,"[38.01, -103.15]"
2010,4/22/2010,CO,Colorado,0,0,0,0.0,0.0,0.59,50,38.17,-102.97,"[38.17, -102.97]"
